Goal,SeriesCode,GeoAreaCode,Units,TimePeriod,Value
9,EN_ATM_CO2GDP,722,KG_PER_CON_USD,2001,0.229
9,EN_ATM_CO2GDP,710,KG_PER_CON_USD,2001,0.679
9,EN_ATM_CO2GDP,5,KG_PER_CON_USD,2001,0.19
9,EN_ATM_CO2GDP,728,KG_PER_CON_USD,2001,
9,EN_ATM_CO2GDP,35,KG_PER_CON_USD,2001,0.229
9,EN_ATM_CO2GDP,18,KG_PER_CON_USD,2001,0.649
9,EN_ATM_CO2GDP,34,KG_PER_CON_USD,2001,0.309
9,EN_ATM_CO2GDP,39,KG_PER_CON_USD,2001,0.193
9,EN_ATM_CO2GDP,724,KG_PER_CON_USD,2001,0.191
9,EN_ATM_CO2GDP,144,KG_PER_CON_USD,2001,0.095
9,EN_ATM_CO2GDP,202,KG_PER_CON_USD,2001,0.257
9,EN_ATM_CO2GDP,738,KG_PER_CON_USD,2001,0.25
9,EN_ATM_CO2GDP,729,KG_PER_CON_USD,2001,0.08
9,EN_ATM_CO2GDP,740,KG_PER_CON_USD,2001,0.233
9,EN_ATM_CO2GDP,752,KG_PER_CON_USD,2001,0.14
9,EN_ATM_CO2GDP,756,KG_PER_CON_USD,2001,0.1
9,EN_ATM_CO2GDP,760,KG_PER_CON_USD,2001,0.896
9,EN_ATM_CO2GDP,762,KG_PER_CON_USD,2001,0.234
9,EN_ATM_CO2GDP,764,KG_PER_CON_USD,2001,0.252
9,EN_ATM_CO2GDP,768,KG_PER_CON_USD,2001,0.093
9,EN_ATM_CO2GDP,780,KG_PER_CON_USD,2001,0.498
9,EN_ATM_CO2GDP,788,KG_PER_CON_USD,2001,0.251
9,EN_ATM_CO2GDP,792,KG_PER_CON_USD,2001,0.199
9,EN_ATM_CO2GDP,795,KG_PER_CON_USD,2001,1.713
9,EN_ATM_CO2GDP,804,KG_PER_CON_USD,2001,0.769
9,EN_ATM_CO2GDP,784,KG_PER_CON_USD,2001,0.285
9,EN_ATM_CO2GDP,826,KG_PER_CON_USD,2001,0.231
9,EN_ATM_CO2GDP,834,KG_PER_CON_USD,2001,0.057
9,EN_ATM_CO2GDP,840,KG_PER_CON_USD,2001,0.399
9,EN_ATM_CO2GDP,858,KG_PER_CON_USD,2001,0.097
9,EN_ATM_CO2GDP,860,KG_PER_CON_USD,2001,1.685
9,EN_ATM_CO2GDP,862,KG_PER_CON_USD,2001,
9,EN_ATM_CO2GDP,704,KG_PER_CON_USD,2001,0.195
9,EN_ATM_CO2GDP,11,KG_PER_CON_USD,2001,0.119
9,EN_ATM_CO2GDP,145,KG_PER_CON_USD,2001,0.291
9,EN_ATM_CO2GDP,485,KG_PER_CON_USD,2001,0.287
9,EN_ATM_CO2GDP,155,KG_PER_CON_USD,2001,0.197
